#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7","SGSC4150; SPB7",19669,SAMN02603951 ,PRJNA27803,"Proteobacteria","Gammaproteobacteria",GCA_000018705.1 ,4.85889,52.1,chromosome:NC_010102.1/CP000886.1,-,1,4974,4700,2007/11/30,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/705/GCF_000018705.1_ASM1870v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/705/GCA_000018705.1_ASM1870v1
"Salmonella enterica subsp. enterica serovar Heidelberg str. SL476","SL476",19669,SAMN02604067 ,PRJNA20045,"Proteobacteria","Gammaproteobacteria",GCA_000020705.1 ,4.98351,52.069,chromosome:NC_011083.1/CP001120.1; plasmid pSL476_3:NC_011082.1/CP001119.1; plasmid pSL476_91:NC_011081.1/CP001118.1,-,3,5129,4857,2008/07/24,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/705/GCF_000020705.1_ASM2070v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/705/GCA_000020705.1_ASM2070v1
"Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633","CVM19633",19669,SAMN02604064 ,PRJNA19459,"Proteobacteria","Gammaproteobacteria",GCA_000020745.1 ,4.82389,52.2367,chromosome:NC_011094.1/CP001127.1; plasmid pCVM19633_110:NC_011092.1/CP001125.1; plasmid pCVM19633_4:NC_011093.1/CP001126.1,-,3,4699,4518,2008/07/30,2016/09/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/745/GCF_000020745.1_ASM2074v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/745/GCA_000020745.1_ASM2074v1
"Salmonella enterica subsp. enterica serovar Agona str. SL483","SL483",19669,SAMN02604068 ,PRJNA20063,"Proteobacteria","Gammaproteobacteria",GCA_000020885.1 ,4.83664,52.0105,chromosome:NC_011149.1/CP001138.1; plasmid unnamed:NC_011148.1/CP001137.1,-,2,4926,4661,2008/08/22,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/885/GCF_000020885.1_ASM2088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/885/GCA_000020885.1_ASM2088v1
"Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853","CT_02021853",19669,SAMN02604065 ,PRJNA19467,"Proteobacteria","Gammaproteobacteria",GCA_000020925.1 ,4.91746,52.1454,chromosome:NC_011205.1/CP001144.1; plasmid pCT02021853_74:NC_011204.1/CP001143.1,-,2,5050,4718,2008/09/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/925/GCF_000020925.1_ASM2092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/925/GCA_000020925.1_ASM2092v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S","14028S",19669,SAMN02604137 ,PRJNA33067,"Proteobacteria","Gammaproteobacteria",GCA_000022165.1 ,4.9641,52.217,chromosome:NC_016856.1/CP001363.1; plasmid unnamed:NC_016855.1/CP001362.1,-,2,5100,4826,2009/11/13,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/165/GCF_000022165.1_ASM2216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/165/GCA_000022165.1_ASM2216v1
"Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601","AKU12601",19669,SAMEA1705953 ,PRJEA30943,"Proteobacteria","Gammaproteobacteria",GCA_000026565.1 ,4.5818,52.2,chromosome:NC_011147.1/FM200053.1,-,1,4703,4326,2008/08/18,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/565/GCF_000026565.1_ASM2656v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/565/GCA_000026565.1_ASM2656v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. D23580","D23580",19669,SAMEA2272777 ,PRJEA40625,"Proteobacteria","Gammaproteobacteria",GCA_000027025.1 ,4.8794,52.2,chromosome:NC_016854.1/FN424405.1,-,1,4734,4563,2009/10/10,2016/07/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/025/GCF_000027025.1_ASM2702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/025/GCA_000027025.1_ASM2702v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74","ST4/74",19669,SAMN02602988 ,PRJNA56087,"Proteobacteria","Gammaproteobacteria",GCA_000188735.1 ,5.06745,52.1975,chromosome:NC_016857.1/CP002487.1; plasmid TY474p1:NC_016858.1/CP002488.1; plasmid TY474p2:NC_017675.1/CP002489.1; plasmid TY474p3:NC_016859.1/CP002490.1,-,4,5233,4956,2011/02/10,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/735/GCF_000188735.1_ASM18873v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/735/GCA_000188735.1_ASM18873v1
"Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20","507440-20",19669,SAMN00710608 ,PRJNA50023,"Proteobacteria","Gammaproteobacteria",GCA_000188955.5 ,4.69437,52.2,chromosome:NZ_CP007530.1/CP007530.1,-,1,4763,4501,2014/04/04,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/955/GCF_000188955.2_ASM18895v5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/955/GCA_000188955.5_ASM18895v5
"Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344","SL1344",19669,SAMEA3138382 ,PRJNA50407,"Proteobacteria","Gammaproteobacteria",GCA_000210855.2 ,5.06745,52.1975,chromosome:NC_016810.1/FQ312003.1; plasmid pCol1B9_SL1344:NC_017718.1/HE654725.1; plasmid pRSF1010_SL1344:NC_017719.1/HE654726.1; plasmid pSLT_SL1344:NC_017720.1/HE654724.1,-,4,5233,4955,2010/07/23,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/855/GCF_000210855.2_ASM21085v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/855/GCA_000210855.2_ASM21085v2
"Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1","UK-1",19669,SAMN02602986 ,PRJNA63211,"Proteobacteria","Gammaproteobacteria",GCA_000213635.1 ,4.91115,52.2152,chromosome:NC_016863.1/CP002614.1; plasmid pSTUK-100:NC_016864.1/CP002615.1,-,2,5026,4759,2011/05/13,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/635/GCF_000213635.1_ASM21363v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/635/GCA_000213635.1_ASM21363v1
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078","RKS5078",19669,SAMN02603246 ,PRJNA72821,"Proteobacteria","Gammaproteobacteria",GCA_000235545.1 ,4.63796,52.2,chromosome:NC_016831.1/CP003047.1,-,1,4465,4085,2011/11/16,2016/07/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/545/GCF_000235545.1_ASM23554v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/545/GCA_000235545.1_ASM23554v1
"Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12","P-stx-12",19669,SAMN02603101 ,PRJNA80939,"Proteobacteria","Gammaproteobacteria",GCA_000245535.1 ,4.94978,51.8911,chromosome:NC_016832.1/CP003278.1; plasmid unnamed:NC_016825.1/CP003279.1,-,2,5171,4750,2012/02/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/245/535/GCF_000245535.1_ASM24553v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/245/535/GCA_000245535.1_ASM24553v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. 798","798",19669,SAMN02604223 ,PRJNA66023,"Proteobacteria","Gammaproteobacteria",GCA_000252875.1 ,4.9701,52.217,chromosome:NC_017046.1/CP003386.1; plasmid p798_93:NC_017054.1/CP003387.1,-,2,5099,4798,2012/03/15,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/875/GCF_000252875.1_ASM25287v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/875/GCA_000252875.1_ASM25287v1
"Salmonella enterica subsp. enterica serovar Heidelberg str. B182","B182",19669,SAMN02603149 ,PRJNA88529,"Proteobacteria","Gammaproteobacteria",GCA_000258365.1 ,4.78805,52.1137,chromosome:NC_017623.1/CP003416.1; plasmid pB182_37:NC_017624.1/CP003417.1,-,2,4895,4550,2012/04/10,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/365/GCF_000258365.1_ASM25836v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/365/GCA_000258365.1_ASM25836v1
"Salmonella enterica subsp. enterica serovar Newport str. Levine 1","Levine 1",19669,SAMN05172397 ,PRJNA60529,"Proteobacteria","Gammaproteobacteria",GCA_000271885.2 ,4.84192,52.1,chromosome:NZ_CP015923.1/CP015923.1,-,1,4909,4593,2016/12/06,2016/12/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/885/GCF_000271885.2_ASM27188v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/885/GCA_000271885.2_ASM27188v2
"Salmonella enterica subsp. enterica serovar Newport str. Levine 15","Levine 15",19669,SAMN05172398 ,PRJNA60531,"Proteobacteria","Gammaproteobacteria",GCA_000271905.2 ,4.88371,52.2,chromosome:NZ_CP015924.1/CP015924.1,-,1,4961,4668,2016/12/06,2016/12/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/905/GCF_000271905.2_ASM27190v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/905/GCA_000271905.2_ASM27190v2
"Salmonella enterica subsp. enterica serovar Newport str. CVM 21550","CVM 21550",19669,SAMN01765627 ,PRJNA49631,"Proteobacteria","Gammaproteobacteria",GCA_000272715.3 ,4.85818,52.2,chromosome:NZ_CP010283.1/CP010283.1,-,1,4981,4731,2015/03/12,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/715/GCF_000272715.3_ASM27271v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/715/GCA_000272715.3_ASM27271v3
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22513","CVM 22513",19669,SAMN01805325 ,PRJNA49635,"Proteobacteria","Gammaproteobacteria",GCA_000272735.3 ,4.83077,52.2,chromosome:NZ_CP010281.1/CP010281.1,-,1,4944,4655,2015/03/12,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/735/GCF_000272735.3_ASM27273v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/735/GCA_000272735.3_ASM27273v3
"Salmonella enterica subsp. enterica serovar Newport str. CVM 21538","CVM 21538",19669,SAMN01765628 ,PRJNA49637,"Proteobacteria","Gammaproteobacteria",GCA_000272755.3 ,4.79584,52.2,chromosome:NZ_CP010282.1/CP010282.1,-,1,4898,4553,2015/03/12,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/755/GCF_000272755.3_ASM27275v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/755/GCA_000272755.3_ASM27275v3
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22425","CVM 22425",19669,SAMN01813481 ,PRJNA49639,"Proteobacteria","Gammaproteobacteria",GCA_000272775.3 ,4.83294,52.2,chromosome:NZ_CP010279.1/CP010279.1,-,1,4971,4671,2015/03/12,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/775/GCF_000272775.3_ASM27277v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/775/GCA_000272775.3_ASM27277v3
"Salmonella enterica subsp. enterica serovar Newport str. CVM N18486","CVM N18486",19669,SAMN01816117 ,PRJNA49973,"Proteobacteria","Gammaproteobacteria",GCA_000272815.2 ,4.75584,52.2,chromosome:NZ_CP009561.1/CP009561.1,-,1,4833,4583,2014/10/14,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/815/GCF_000272815.2_ASM27281v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/815/GCA_000272815.2_ASM27281v2
"Salmonella enterica subsp. enterica serovar Newport str. CVM N1543","CVM N1543",19669,SAMN01816118 ,PRJNA49975,"Proteobacteria","Gammaproteobacteria",GCA_000272835.3 ,4.82796,52.2,chromosome:NZ_CP010284.1/CP010284.1,-,1,4892,4652,2015/03/12,2017/01/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/835/GCF_000272835.3_ASM27283v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/835/GCA_000272835.3_ASM27283v3
"Salmonella enterica subsp. enterica serovar Newport str. CVM 22462","CVM 22462",19669,SAMN01813482 ,PRJNA49971,"Proteobacteria","Gammaproteobacteria",GCA_000272895.3 ,5.1212,52.1435,chromosome:NZ_CP010280.1/CP010280.1; plasmid pCFSAN000934_02:NZ_CP009567.1/CP009567.1; plasmid pCFSAN000934_03:NZ_CP009568.1/CP009568.1; plasmid pCVM22462:NZ_CP009566.1/CP009566.1,-,4,5329,5045,2015/01/07,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/272/895/GCF_000272895.2_ASM27289v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/272/895/GCA_000272895.3_ASM27289v3
"Salmonella enterica subsp. enterica serovar Enteritidis str. 77-1427","77-1427",19669,SAMN01041143 ,PRJNA60069,"Proteobacteria","Gammaproteobacteria",GCA_000280315.2 ,4.71868,52.0968,chromosome:NZ_CP007598.1/CP007598.1; plasmid pCFSAN000111_01:NZ_CP007599.1/CP007599.1,-,2,4815,4560,2014/05/06,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/315/GCF_000280315.2_ASM28031v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/315/GCA_000280315.2_ASM28031v2
"Salmonella enterica subsp. enterica serovar Typhimurium str. T000240","T000240",19669,SAMD00000683 ,PRJNA45951,"Proteobacteria","Gammaproteobacteria",GCA_000283735.1 ,5.06999,52.2422,chromosome:NC_016860.1/AP011957.1; plasmid pSTMDT12_L:NC_016861.1/AP011958.1; plasmid pSTMDT12_S:NC_016862.1/AP011959.1,-,3,4953,4778,2010/11/30,2016/10/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/735/GCF_000283735.1_ASM28373v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/735/GCA_000283735.1_ASM28373v1
"Salmonella enterica subsp. enterica serovar Enteritidis str. CDC_2010K_0968","CDC_2010K-0968",19669,SAMN01041170 ,PRJNA52491,"Proteobacteria","Gammaproteobacteria",GCA_000329365.2 ,4.73903,52.1975,chromosome:NZ_CP007528.1/CP007528.1; plasmid plasmid00:NZ_CP007529.1/CP007529.1,-,2,4795,4535,2014/04/04,2017/01/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/329/365/GCF_000329365.2_ASM32936v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/329/365/GCA_000329365.2_ASM32936v2
"Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120","ATCC 9120",19669,SAMN01805317 ,PRJNA66671,"Proteobacteria","Gammaproteobacteria",GCA_000330485.2 ,4.78149,52.2199,chromosome:NZ_CP012347.1/CP012347.1; plasmid pCFSAN000725_01:NZ_CP012348.1/CP012348.1,-,2,4871,4402,2015/08/12,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/485/GCF_000330485.2_ASM33048v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/485/GCA_000330485.2_ASM33048v2
"Salmonella enterica subsp. enterica serovar Enteritidis str. 18569","18569",19669,SAMN01041085 ,PRJNA41929,"Proteobacteria","Gammaproteobacteria",GCA_000335875.2 ,4.74533,52.1962,chromosome:NZ_CP011394.1/CP011394.1; plasmid pCFSAN000006:NZ_CP011395.1/CP011395.1,-,2,4846,4567,2015/05/11,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/875/GCF_000335875.2_ASM33587v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/875/GCA_000335875.2_ASM33587v2
"Salmonella enterica subsp. enterica serovar Gallinarum str. 9184","9184",19669,SAMN00811241 ,PRJNA41263,"Proteobacteria","Gammaproteobacteria",GCA_000335995.2 ,4.60991,52.2,chromosome:NZ_CP019035.1/CP019035.1,-,1,4642,4205,2017/01/17,2017/02/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/995/GCF_000335995.2_ASM33599v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/335/995/GCA_000335995.2_ASM33599v2
"Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992","CFSAN001992",19669,SAMN01832085 ,PRJNA183458,"Proteobacteria","Gammaproteobacteria",GCA_000341425.1 ,4.67527,52.1662,chromosome:NC_020307.1/CP004027.1; plasmid pCFSAN001992_1:NC_020306.1/CP004026.1; plasmid pCFSAN001992_2:NC_020308.1/CP004028.1,-,3,4779,4457,2013/02/20,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/425/GCF_000341425.1_ASM34142v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/425/GCA_000341425.1_ASM34142v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. U288","U288",19669,SAMN02604233 ,PRJNA157919,"Proteobacteria","Gammaproteobacteria",GCA_000380325.1 ,5.01706,52.2438,chromosome:NC_021151.1/CP003836.1; plasmid pSTU288-1:NC_021155.1/CP004058.1; plasmid pSTU288-2:NC_021156.1/CP004059.1; plasmid pSTU288-3:NC_021157.1/CP004060.1,-,4,5168,4875,2013/04/23,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/325/GCF_000380325.1_ASM38032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/325/GCA_000380325.1_ASM38032v1
"Salmonella enterica subsp. enterica serovar Typhi str. Ty21a","Ty21a",19669,SAMN02603210 ,PRJNA34855,"Proteobacteria","Gammaproteobacteria",GCA_000385905.1 ,4.79196,52,chromosome:NC_021176.1/CP002099.1,-,1,4982,4565,2013/05/01,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/905/GCF_000385905.1_ASM38590v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/905/GCA_000385905.1_ASM38590v1
"Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069","CFSAN002069",19669,SAMN01832089 ,PRJNA184142,"Proteobacteria","Gammaproteobacteria",GCA_000430085.2 ,4.93199,52.1204,chromosome:NC_021812.2/CP005390.2; plasmid pCFSAN002069_01:NC_021813.2/CP005389.2; plasmid pCFSAN002069_02:NC_021842.2/CP005391.2,-,3,5009,4742,2013/07/16,2017/01/23,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/085/GCF_000430085.2_ASM43008v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/085/GCA_000430085.2_ASM43008v2
"Salmonella enterica subsp. enterica serovar Heidelberg str. 41578","41578",19669,SAMN01088008 ,PRJNA78477,"Proteobacteria","Gammaproteobacteria",GCA_000430105.1 ,4.95148,52.1153,chromosome:NC_021810.1/CP004086.1; plasmid pSEEH1578_01:NC_021811.1/CP004087.1; plasmid pSEEH1578_02:NC_021841.1/CP004088.1; plasmid pSEEH1578_03:NC_021869.1/CP004857.1,-,4,5103,4832,2013/07/16,2016/11/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/105/GCF_000430105.1_ASM43010v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/105/GCA_000430105.1_ASM43010v1
"Salmonella enterica subsp. enterica serovar Cubana str. CFSAN002050","CFSAN002050",19669,SAMN01832088 ,PRJNA184141,"Proteobacteria","Gammaproteobacteria",GCA_000430125.1 ,5.26701,51.8899,chromosome:NC_021818.1/CP006055.1; plasmid unnamed:NC_021845.1/CP006056.1; plasmid unnamed2:NC_021819.1/CP006057.1,-,3,5415,5118,2013/07/16,2016/11/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/125/GCF_000430125.1_ASM43012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/125/GCA_000430125.1_ASM43012v1
